symbol,Keywords
KEL.TO,development British Columbia natural company Progress British production exploration central Inga/Fireweed/Stoddart Exploration Stoddart Company Fireweed 
LPI,development independent transportation December equivalent Petroleum subsidiary Midstream production exploration three-stream Exploration marketing acquisition 
LTRPA,TripAdvisor display-based advertising vacation BuySeasons research Non-Hotel Through click-based advertising portfolio subscription-based advertising Celebrate 
OIS,completion Southeast segment Company specialty Through Offshore land-based drilling production offshore establish International technology-focused Offshore 
ADI,high-speed Management high-performance Amplifiers/Radio Frequency automotive Processing frequency performance industrial portfolio processing technology Converters mixed-signal North/South 
KITE,development mediastinal candidate CAR-based immunotherapy commercialization refractory aggressive registrational clinical engineered autologous treatment follicular lymphoma lymphoma approach clinical-stage biopharmaceutical 
CREE,wireless industrial transportation applications consumer radio-frequency commercial semiconductor lighting-class emitting electronic manufacturer 
WDR,management Financial business institutional December Advisors administration independent contractor retirement shareholder contractor financial investment management distribution Insurance Portfolios 
EXEL,development metastatic medullary progressive Exelixis COMETRIQ CABOMETYX combination commercialization cabozantinib cobimetinib biopharmaceutical selective inhibitor formulation molecular chaperone inhibitor discovery 
PRO,RevenuePRO industrial PricingPRO automotive healthcare software-as-a-service perpetual when-and-if-available SellingPRO solutions maintenance realization professional distribution business-to-business consumer insurance 
YRCW,Worldwide Transportation industrial transportation Reddaway commercial machinery less-than-truckload equipment transportation services Express automotive services international operation distribution furniture 
HLF,nutrition product management personal healthy December educational Pacific promotional Herbalife literature operating geographical fitness nutritional products replacement 
CLVS,adenosine diphosphate platelet-derived Rociletinib mutant-selective inhibitor vascular endothelial anti-cancer biopharmaceutical treatment international molecule Rucaparib polymerase deoxyribonucleic epidermal Oncology inhibitor acquiring fibroblast deleterious activity monotherapy Lucitanib 
PLCE,States-based wholesale specialty Canadian-based pure-play Rico-based international wardrobe International Children merchandise footwear 
IMUC,pancreatic candidate addition recurrent glioblastoma multiforme tumor-associated potential therapeutic immune-based portfolio dendritic ImmunoCellular Therapeutics clinical-stage biotechnology treatment 
ARCI,Company-owned available customers business household agreement household appliance factory-trained technician out-of-carton merchandise Appliance Recycling special-buy ApplianceSmart 
HLX,Producer offshore construction industry Robotics Production Facilities equipment Production Solutions ownership floating production intervention international offshore ROVDrills Independence Intervention 
NSP,development Management performance management Workforce Synchronization Recruiting administration Outsourcing cloud-based Retirement compensation Attendance professional Organizational organization encompass Workforce Optimization Performance Management 
CTB,manufacture passenger manufacturing Kingdom marketing Company European segment Americas Republic motorcycle December distribution manufacturer segment marketer replacement 
CFFI,development multi-family residential four-family non-prime automobile commercial business independent commercial construction Financial Corporation subsidiary full-service brokerage origination acquisition 
MDCO,bivalirudin development marketplace iontophoretic transdermal Carbavance hospitalized anesthesia oritavancin gram-negative sedative-hypnotic biopharmaceutical Inclisiran minocycline MDCO-700 procedural 
VR,catastrophe reinsurance first-party financial commercial specialty insurance political AlphaCat Bermuda-based reinsurance operating Bermuda-based investment Syndicate aviation contingency 
IBKR,offering custody Greenwich exchange processing brokerage business Liechtenstein Shanghai Connecticut Australia Chicago Switzerland brokerage electronic brokerage electronic Interactive 
ANDE,Columbus agricultural business Company diversified retailer Liability corncob-based ownership Nutrient distributor nutrient America consumer manufacturer 
TRCH,Torchlight development Development Ventures Corporation Oklahoma partnership Hudspeth Formations exploitation liability exploration drilling Orogrande Operating Southwest acquisition Marcelina 
STRA,development criminal education non-degree Administration University executive administration application Mid-Atlantic Management subsidiary communication post-secondary education Education undergraduate information technology physical 
MAR,Autograph Collection Gaylord SpringHill business EDITION Sheraton Residence American Full-Service Fairfield Courtyard Renaissance American Limited-Service Portfolio Marriott International 
CMI,Industrial filtration recreational commercial light-duty automotive medium-duty Components aftertreatment agricultural Distribution engine-related component 
CEVA,industrial processing intellectual intellectual property automotive application-specific electronic equipment semiconductor connectivity equipment manufacturers licensing 
IRBT,building residential Cleaning multiple three-stage cleaning mobility Corporation NorthStar artificial automatic navigation surface designing Application portfolio consumer cleaning 
NETE,Commonwealth Transaction Solutions Federation Independent accepting cashless processing technology transactional value-added Corporate PayOnline transaction processing 
PLOW,management SWEEPEX BLIZZARD up-fitter maintenance equipment Attachments commercial equipment industrial maintenance Solutions WESTERN portfolio Douglas Dynamics HENDERSON manufacturer 
IPGP,High-Power Ytterbium Transceivers laser-based Photonics Corporation Mid-Power Ytterbium general-purpose equipment Amplifiers developer manufacturing manufacturer 
KNDI,development electric business efficient off-road Vehicles commercialization all-terrain production Zhejiang subsidiary company manufacturing electric utility 
SWIR,equipment management embedded application framework embedded application generation broadband connectivity applications Enterprise portfolio intelligent Connectivity deploying 
HP,development steerable industrial warehouse Helmerich Oklahoma commercial multi-tenant industrial equipment ownership International operation Venezuela 
CPE,development independent unconventional prospective December Petroleum horizontal development immaterial properties production exploration additional immaterial Spraberry southeastern acquisition 
GST,development independent Mississippi identification unconventional Woodford condensate mid-continent subsequent exploration production exploration limestone Exploration gas-rich Oklahoma acquisition principal 
AOI,Venancio Alliance Morogoro Tanzania processing flue-cured Zimbabwe Lilongwe international Farmville Ararangua oriental Danville International Argentina Indonesia Karlsruhe 
EBIX,management application software back-end adjudication/settlement e-commerce compensation Compliance Solutions material consulting Exchanges insurance industry insurance software 
AMBR,cloud-based management transportation Knowledge government software-as-a-service compliance visibility cross-border non-vessel solutions international regulatory compliance enterprise-class 
RDN,offering asset-backed specialty consulting diligence residential mortgage-backed RMBS surveillance information-based estate-related oversight credit-related 
WMS,polypropylene polyethylene infrastructure Advanced Drainage residential non-residential marketing Domestic management products designing International manufacturing agriculture thermoplastic 
JBLU,passenger lie-flat capacity Caribbean additional TrueBlue privacy Corporation Company Domestic different transcontinental aircraft in-flight Internet December transportation Fly-Fi in-flight 
MXL,incorporate infrastructure MaxLinear functionality necessary broadband Multimedia semiconductor equipment frequency architecture interconnect alignment systems-on-chip mixed-signal integrated current-to-voltage regulation 
RGSE,satisfaction financing installation business residential commercial connection continental procurement engineering construction Residential photovoltaic corporate 
SONC,customer alternative drive-thru restaurant intercom specialty canopy-covered terminal construction franchise Drive-In operation one-story building Drive-Ins Company drive-thrus 
VLO,pipeline refining operations Corporation support partnership Mid-Continent conventional midstream terminal independent petroleum refining marketing marketing activities 
PTLA,development extended candidate once-daily inhibitor selective thrombosis hematologic commercialization Betrixaban approved treatment biopharmaceutical inflammation thromboembolism recombinant anticoagulant activity Andexanet 
LGCY,development Mountain productive Colorado Spraberry/War December equivalent partnership Mid-Continent various Piceance Panhandle producing Oklahoma acquisition 
THRM,development equipment management automotive passenger generation Automotive industrial temperature temperature management convenience Industrial Incorporated individual convenience technology environmental 
CNCE,development pharmaceutical ultra-low inhibitor combination collaboration dextromethorphan deuterium phosphodiesterase clinical-stage biopharmaceutical inflammatory therapeutic technology generation potentiator discovery 
RUBI,purchase marketplace platform Company Websites application advertising advertisement real-time advertising inventory technology solution inventory 
STMP,multi-carrier ShipWorks ShippingEasy ShipStation personal computer PictureItPostage solutions provider international PhotoStamps electronic insurance Internet-based 
HSKA,supporting pharmaceutical products allergy immunotherapy healthcare Corporation veterinary diagnostic specialty cloud-based Companion pharmaceutical production in-clinic diagnostic products instruments biological heartworm preventive third-party software 
EWBC,industrial personal Commercial company commercial Washington Georgia Massachusetts domestic commercial Bancorp California state-chartered principal business banking-related 
