Ticker&Date, BandWidth, BoilUpper, close, BoilLower, BoilPercent,divergence,signal,macd,divergence%,rsi,sma60,sma20,sma5,mfi,stochK,stochD,lastTradeDate
KND20170909,0.7956,8.0303,7.5,7.2347,0.333459024635,0.0963,-0.4347,-0.3384,0.01284,37.3469,9.4583,7.6325,7.66,56.6137,5.8824,24.5197,1504877400
JACK20170909,7.9178,99.1669,92.2399978638,91.2491,0.125148130007,-0.3001,-0.6833,-0.9834,-0.0032534692861,39.777,96.462,95.208,93.076,50.5107,19.8529,11.6701,1504877400
SBGI20170909,2.922,31.286,28.5,28.364,0.0465434633812,-0.0099,-0.8506,-0.8605,-0.000347368421053,36.6468,32.388,29.825,29.31,37.9233,9.1954,11.2,1504877400
NKO.TO20170909,0.012,0.065,0.0599999986589,0.053,0.583333221575,0.0002,-0.0003,-0.0001,0.00333333340784,50.4921,0.0615,0.059,0.06,38.0139,100.0,100.0,1504877400
TTS20170909,1.4064,15.7782,15.6499996185,14.3718,0.908845007487,0.1869,-0.2756,-0.0888,0.0119424923039,55.2993,16.9035,15.075,15.52,80.31,86.2069,91.954,1504877400
HABT20170909,1.5682,14.0966,12.8000001907,12.5284,0.1731923165,0.0547,-0.6053,-0.5506,0.00427343743632,28.0944,15.0846,13.3125,12.94,34.6806,18.1818,21.1223,1504877400
PDCE20170909,4.4005,41.2548,39.8699989319,36.8543,0.685308244946,0.4599,-1.068,-0.6081,0.0115349890223,46.8739,42.4422,39.0545,40.298,64.4879,56.6666,75.6387,1504877400
LOCO20170909,1.1714,12.1507,11.1999998093,10.9793,0.188406871491,0.0336,-0.4092,-0.3756,0.00300000005109,29.2619,12.8033,11.565,11.31,37.3491,25.8064,21.8697,1504877400
DHT20170909,0.267,3.9685,3.86999988556,3.7015,0.631085713704,0.0169,-0.0529,-0.036,0.00436692519374,48.6257,4.0205,3.835,3.854,70.3547,69.6969,79.798,1504877400
CRZO20170909,2.477,14.3925,11.3800001144,11.9155,-0.21618889203,-0.038,-0.641,-0.679,-0.00333919153057,30.2975,15.0442,13.154,12.666,33.1051,8.7227,26.4218,1504877400
XEC20170909,7.5696,102.8173,99.4800033569,95.2477,0.559118494628,0.1349,1.1461,1.281,0.00135605142187,51.7285,96.1482,99.0325,101.528,53.8918,42.1053,68.207,1504877400
ADES20170909,0.9742,10.5826,9.80000019073,9.6084,0.196674389997,-0.0472,0.0471,-0.0001,-0.00481632643687,43.1543,9.8627,10.0955,10.054,57.9047,25.0,41.2295,1504877400
CRH.TO20170909,0.6258,3.3579,2.68000006676,2.7321,-0.0832533289274,0.059,-0.4564,-0.3974,0.0220149248248,21.7197,4.8158,3.045,2.808,11.1489,1.7857,2.3115,1504877400
WVFC20170909,0.7888,16.2549,15.8900003433,15.4661,0.537399015369,-0.0246,-0.0623,-0.0869,-0.00154814345302,51.8498,15.9005,15.8605,15.632,14.0008,81.9673,31.694,1504877400
NOV20170909,2.3022,31.7741,31.75,29.4719,0.989531752237,0.2715,-0.3459,-0.0744,0.00855118110236,56.3483,32.0603,30.623,31.494,68.4953,81.2501,84.499,1504877400
HT20170909,0.8164,18.6127,18.0,17.7963,0.249510044096,-0.0067,-0.0954,-0.1021,-0.000372222222222,44.6727,18.4862,18.2045,18.12,50.9961,30.303,26.7677,1504877400
TREE20170909,15.9482,235.5091,230.25,219.5609,0.670238647622,-1.1189,6.9805,5.8617,-0.00485950054289,58.9202,202.2405,227.535,232.11,64.5585,53.3528,55.4908,1504877400
JRJC20170909,1.3576,3.0223,2.11999988556,1.6647,0.335371159074,-0.0625,0.2157,0.1532,-0.0294811336669,46.0215,1.8273,2.3435,2.364,66.326,1.2658,28.8533,1504877400
OII20170909,2.8476,24.3638,24.3199996948,21.5162,0.984618519042,0.2551,-0.2063,0.0488,0.0104893093421,58.8203,23.495,22.94,23.966,64.4195,89.0511,93.3386,1504877400
OVAS20170909,0.279,1.5675,1.29999995232,1.2885,0.0412184670835,-0.0185,-0.0298,-0.0483,-0.0142307697528,37.5582,1.5034,1.428,1.334,14.0392,9.0909,7.0707,1504877400
ZOES20170909,2.3592,13.8991,12.7299995422,11.5399,0.504450467208,-0.0392,0.2852,0.246,-0.00307934025213,52.505,12.1233,12.7195,12.86,53.7237,29.7297,49.6813,1504877400
HASI20170909,1.2942,24.0221,23.2999992371,22.7279,0.442048552821,-0.025,-0.0127,-0.0377,-0.00107296140852,49.7154,23.2815,23.375,23.194,45.7192,49.9999,47.4519,1504877400
TEX20170909,2.3254,39.4842,39.5499992371,37.1588,1.02829587901,0.0599,0.0953,0.1552,0.001514538588,58.5944,37.854,38.3215,38.658,51.7926,96.281,65.5683,1504877400
ACQ.TO20170909,1.5776,22.5178,20.9899997711,20.9402,0.0315667920374,-0.1576,0.5458,0.3882,-0.00750833738535,48.9606,19.7542,21.729,21.454,43.2274,3.2786,42.3416,1504877400
ZGNX20170909,5.522,15.2435,16.25,9.7215,1.18227091633,0.5149,0.0353,0.5502,0.0316861538462,77.1759,13.2958,12.4825,14.31,74.3301,97.0,84.1064,1504877400
RKN.TO20170909,0.1624,0.8237,0.699999988079,0.6613,0.238300419206,0.0031,-0.053,-0.0499,0.00442857150399,35.8996,0.8973,0.7425,0.712,47.0167,25.0,22.2222,1504877400
HEES20170909,7.1542,25.9141,25.3799991608,18.7599,0.925344435544,0.3928,0.5503,0.9432,0.0154767538609,71.2563,21.4735,22.337,24.926,87.6386,98.3051,93.0766,1504877400
SAIA20170909,9.4226,59.3063,58.2999992371,49.8837,0.893203493416,0.5033,0.9599,1.4632,0.00863293321761,72.1815,52.7088,54.595,58.02,77.482,88.3436,91.5441,1504877400
XOMA20170909,14.569,17.8765,18.2900009155,3.3075,1.02838224418,0.9443,1.5016,2.4459,0.0516293030471,95.1334,8.2528,10.592,15.934,97.1923,92.5894,91.8907,1504877400
GHL20170909,3.108,16.849,14.0500001907,13.741,0.0994209107899,0.0111,-0.9702,-0.9591,0.000790035576464,17.6351,18.045,15.295,14.36,17.9264,3.0303,8.6324,1504877400
EXPE20170909,9.7926,150.8783,141.410003662,141.0857,0.0331172172977,-0.2315,-1.2087,-1.4403,-0.00163708361505,39.4787,149.503,145.982,145.122,56.7372,5.9246,22.5015,1504877400
